DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/email/_policybase.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/enum.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/urllib3/connectionpool.py first seen with mtime 1762202471.1252944
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/calendar.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/charset_normalizer/__init__.py first seen with mtime 1762202472.3618186
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/rest_framework/utils/json.py first seen with mtime 1762202476.6743338
DEBUG 2025-12-13 17:41:00,302 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/email/base64mime.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,302 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/typing.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,302 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/core/signals.py first seen with mtime 1762202474.0824974
DEBUG 2025-12-13 17:41:00,302 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/wsgiref/simple_server.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,302 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/requests/__init__.py first seen with mtime 1762202472.4464529
